GW_CSA_AAA,Усиленный патруль безопасности
TEXT_TOOLTIP_2M_REPULSOR_WEAP3,1 ракета «Протон»: 2/10,0 с/320 м
TEXT_TOOLTIP_64Y_SLED,Невероятно быстрый репульсор, предназначенный для уничтожения банд свупов. Swift 3 наиболее известен темными всадниками, отрядом штурмовых коммандос под командованием лейтенанта Ирлин Реск.
TEXT_TOOLTIP_64Y_SLED_COMPANY,Компания: 8 репульсорных саней 64-Y Swift 3
TEXT_TOOLTIP_64Y_SLED_HEALTH,Здоровье: 50
TEXT_TOOLTIP_64Y_SLED_MOVE,Скорость: 6,0 | Терн: 8.0
TEXT_TOOLTIP_64Y_SLED_WEAP1,1 бластерная пушка ИИ: 2 / 1,0 с / 200 м
TEXT_TOOLTIP_A_FACTORY_EA1,АТ-АТ Уокер: 1 / 1
TEXT_TOOLTIP_A_FACTORY_GE1,АТ-АТ Уокер: 1 / 1
TEXT_TOOLTIP_A_FACTORY_GM1,А5 Джаггернаут: 1/1
TEXT_TOOLTIP_A_FACTORY_PA1,Осадная башня C-10: 1/1
TEXT_TOOLTIP_A_FACTORY_ZE1,A9 Плавучая крепость: 1 / 1
TEXT_TOOLTIP_A_WING,Небольшой и быстрый перехватчик, предназначенный для уничтожения TIE-истребителей в воздушных боях и обстрелах. Он основан на более старом R-22 Spearhead и полностью переработан Alliance Underground Engineering в модернизированный курносый истребитель. Хорошо подходит для уничтожения истребителей и бомбардировщиков противника.
TEXT_TOOLTIP_A9,Самый новый в серии перехватчиков KDY, А-9, в небольших количествах используется Осколком Империи и другими организациями, приобретшими производственные линии. Несмотря на хрупкость, он обманчиво силен, быстр и в умелых руках превосходит многих других бойцов.
TEXT_TOOLTIP_AA5_TRUCK,Спидер-грузовик A-A5, популярный продукт компании Trast Heavy Transports, представляет собой прочный автомобиль с толстым покрытием, способный противостоять агрессивной среде. Многие организации, включая Альянс повстанцев, а затем Новую Республику, обычно модифицировали его в БТР.
TEXT_TOOLTIP_AA5_TRUCK_COMPANY,Компания: 2 грузовика-спидера A-A5
TEXT_TOOLTIP_AA5_TRUCK_HEALTH,Здоровье: 400
TEXT_TOOLTIP_AA5_TRUCK_MOVE,Скорость: 2.0 | Терн: 1.0
TEXT_TOOLTIP_AA5_TRUCK_WEAP1,1 бластерная пушка ИИ: 4 / 1,0 с / 280 м
TEXT_TOOLTIP_AA5_TRUCK_WEAP2,1 сотрясающая граната: 1/3,0 с/160 м
TEXT_TOOLTIP_AA70_TRUCK,Модификация спидера А-А5 в военную командирскую машину. Обладает улучшенной броней, двигателями и энергетическим вооружением и обеспечивает достойную боевую защиту от легких целей.
TEXT_TOOLTIP_AA70_TRUCK_COMPANY,Рота: 2 командных спидера AA-70.
TEXT_TOOLTIP_AA70_TRUCK_HEALTH,Здоровье: 450
TEXT_TOOLTIP_AA70_TRUCK_MOVE,Скорость: 2,5 | Терн: 1.0
TEXT_TOOLTIP_AA70_TRUCK_WEAP1,1 бластерная пушка ИИ: 6 / 1,0 с / 280 м
TEXT_TOOLTIP_AAC_1,Быстрый и маневренный легкий танк, идеально подходящий для молниеносных ударов и беспокойства имперских шагоходов. AAC-1 был разработан для сил планетарной обороны после Войн клонов, а чертежи попали в Альянс повстанцев посредством оплаты в карточной игре.
TEXT_TOOLTIP_AAC_1_COMPANY,Компания: 4 ховертанка AAC-1
TEXT_TOOLTIP_AAC_1_MOVE,Скорость: 4.0 | Терн: 3.0
TEXT_TOOLTIP_AAC_2,Быстрый и маневренный легкий танк, идеально подходящий для молниеносных ударов и беспокойства имперских шагоходов. AAC-2 оснащен дополнительными дефлекторными щитами, и хотя более редкая модернизация обычно ограничивается охраной командных баз Альянса повстанцев, более крупная ресурсная база Новой Республики позволяет ей быть стандартной.
TEXT_TOOLTIP_AAC_2_COMPANY,Компания: 4 ховертанка AAC-2
TEXT_TOOLTIP_AAC_2_MOVE,Скорость: 3,75 | Терн: 3.0
TEXT_TOOLTIP_AAC_2_SHIELD,Щиты: 25 /
TEXT_TOOLTIP_AAC_3,Полная переработка оригинального AAC в более крупный танк с обменом скорости на мощность. Он оказался в сложном процессе разработки: обвинения в коррупции и разногласия между разработчиками привели к отмене первоначального проекта. Хотя работу удалось спасти и доставить законченный продукт, популярность так и не достигла второй игры в серии.
TEXT_TOOLTIP_AAC_3_COMPANY,Компания: 3 ховертанка AAC-3
TEXT_TOOLTIP_AAC_3_HEALTH,Здоровье: 250
TEXT_TOOLTIP_AAC_3_MOVE,Скорость: 2,5 | Терн: 2.0
TEXT_TOOLTIP_AAC_3_WEAP1,2 AV-бластерные пушки: 1/2,0 с/320 м
TEXT_TOOLTIP_AAC_3_WEAP2,2 легкие бластерные пушки ИИ: 2 / 1,0 с / 240 м
TEXT_TOOLTIP_AAC_3_WEAP3,1 ударная ракета: 2/4,0 с/320 м
TEXT_TOOLTIP_AAC_HEALTH,Здоровье: 150
TEXT_TOOLTIP_AAC_WEAP1,1 легкая AV-бластерная пушка: 2/2,0 с/320 м
TEXT_TOOLTIP_AAC_WEAP2,2 пулемета: 1/2,0 с/320 м
TEXT_TOOLTIP_AAC_WEAP3,1 легкая ударная ракета: 4/4,0 с/320 м
TEXT_TOOLTIP_AAC3_RESEARCH,Открывает доступ к ховертанку AAC-3. Списан ховертанк AAC-2.
TEXT_TOOLTIP_AARICA_VOST,Агент разведки и мокрых работ Управления корпоративного сектора, который часто действует под псевдонимом Брен-Аарика-Рордан. Дочь руководителя отдела корпоративного расширения Ларина Вост.
TEXT_TOOLTIP_AARICA_VOST_HEALTH,Здоровье: 120
TEXT_TOOLTIP_AARICA_VOST_MOVE,Скорость: 1,3
TEXT_TOOLTIP_AARICA_VOST_SHIELD,Щиты: 25 /
TEXT_TOOLTIP_AARICA_VOST_WEAP1,1 бластерная винтовка Nightstinger: 1/3,0 с/320 м
TEXT_TOOLTIP_ABAHT,Этан А'бат — дорнейский генерал, служивший во флоте Новой Республики со времен Восстания, и он был одним из командиров, присутствовавших в битве при Эндоре. С созданием кораблей Нового класса А'бат был приписан к Пятому флоту.
TEXT_TOOLTIP_ABILITY_SUPER_LASER_DARKSABER_DESCRIPTION,Малобюджетная копия суперлазера Звезды Смерти, предназначенная для использования против кораблей и космических станций.
TEXT_TOOLTIP_ABILITY_SUPER_LASER_THORN_DESCRIPTION,Не соответствует замыслу Торна о разрушающем планеты лазере, работающем на объединенных кристаллах Корендума, но, тем не менее, смертоносном против кораблей и космических станций.
TEXT_TOOLTIP_ABILITY_WEAPON_SWAP_DESCRIPTION_KYLE_BLASTER,Поменяйте оружие Кайла на его верный пистолет «Брайар», чтобы получить преимущество в дальности и возможность спринта.
TEXT_TOOLTIP_ABILITY_WEAPON_SWAP_DESCRIPTION_KYLE_SABER,Переключите оружие Кайла на световой меч для ближнего боя с Силовой молнией наготове.
TEXT_TOOLTIP_ACCLAMATOR_PATROL,Преобразование корпусов серии «Аккламатор» в урезанные патрульные крейсеры Внешнего Кольца с использованием их конструкции и гипердвигателя. Не такой мощный в бою, как его родственники, но с удивительно гибким вооружением, способным действовать против любого типа цели. Часто используется для оборонительных гарнизонов, операций по рабству или в качестве большого эскорта в боях флота.
TEXT_TOOLTIP_ACCLAMATOR_PATROL_HULL,Корпус: 2310
TEXT_TOOLTIP_ACCLAMATOR_PATROL_MOVE,Скорость: 5,95 | Ускорение: 0,25 | Поворот: 0,45
TEXT_TOOLTIP_ACCLAMATOR_PATROL_SHIELD,Щиты: 1800 /
TEXT_TOOLTIP_ACCLAMATOR_PATROL_SQUADRON,Истребители: 1,5/2,5 | Бомбардировщики: 1 / 2
TEXT_TOOLTIP_ACCLAMATOR_PATROL_WEAP1,2 средних турболазера: 2 / 1,25 с / 6,2 км
TEXT_TOOLTIP_ACCLAMATOR_PATROL_WEAP2,2 тяжелые лазерные пушки: 2/0,42 с/4,7 км
TEXT_TOOLTIP_ACCLAMATOR_PATROL_WEAP3,1 легкая протонная торпеда: 2/6,0 с/5,2 км
